0:07:00	2	9000000
0:10:00	2	9000000
0:15:00	2	9000000
0:30:00	2	9333333
0:45:00	2	9222222
1:00:00	4	9222222
1:15:00	4	9111111
1:30:00	4	9333333
1:45:00	8	9111111
2:00:00	8	922222222
2:15:00	6	933333333
2:30:00	8	911111111					
2:45:00	7	933333333					
3:00:00	8	922222222					
3:15:00	6	922222222					
3:30:00	8	911111111					
3:45:00	7	922222222					
4:00:00	8	933333333					
4:15:00	8	911111111					
4:30:00	8	922222222					
4:45:00	6	933333333					
5:00:00	8	911111111					
5:15:00	8	911111111					
5:30:00	7	933333333					
5:45:00	8	922222222					
6:00:00	8	911111111					
6:15:00	6	933333333					
6:30:00	8	922222222					
6:45:00	8	911111111					
7:00:00	7	933333333					
7:15:00	8	922222222					
7:30:00	8	911111111					
7:45:00	5	922222222	LEAVE_NET				
8:00:00	8	933333333					
8:22:30	8	911111111					
8:42:15	8	922222222					
9:00:00	6	933333333					
9:15:00	7	933333333					
9:30:00	6	933333333					
9:45:00	7	933333333					
10:00:00	3	911111111	LEAVE_CELL				
10:15:00	8	922222222					
10:30:00	6	933333333					
10:45:00	7	933333333					
11:00:00	8	922222222					
11:15:00	8	933333333					
11:30:00	8	933333333					
11:45:00	8	922222222					
12:00:00	8	933333333					
12:07:00	8	933333333					
12:10:00	8	933333333					
12:15:00	8	922222222					
12:30:00	8	933333333					
12:45:00	8	922222222					
13:00:00	2	955555555	JOIN_CELL				
13:15:00	8	933333333					
13:30:00	8	922222222					
13:45:00	6	955555555					
14:00:00	8	933333333					
14:15:00	8	933333333					
14:30:00	7	955555555					
14:45:00	8	922222222					
15:00:00	8	933333333					
15:15:00	8	955555555					
15:30:00	8	922222222					
15:45:00	6	955555555					
16:00:00	8	933333333					
16:15:00	7	955555555					
16:30:00	8	922222222					
16:45:00	6	955555555					
17:00:00	8	933333333					
17:15:00	8	955555555					
17:30:00	8	922222222					
17:45:00	7	955555555					
18:00:00	8	933333333					
18:15:00	8	955555555					
18:30:00	8	922222222					
18:45:00	8	933333333					
19:00:00	8	955555555					
19:15:00	8	922222222					
19:30:00	6	955555555					
19:45:00	8	933333333					
20:00:00	8	955555555					
20:15:00	8	922222222					
20:30:00	7	955555555					
20:45:00	8	933333333					
21:00:00	8	955555555					
21:15:00	8	922222222					
21:30:00	6	922222222					
21:45:00	8	933333333					
22:00:00	8	955555555					
22:15:00	8	922222222					
22:30:00	7	922222222					
22:45:00	6	922222222					
23:00:00	8	933333333					
23:15:00	8	955555555					
23:30:00	8	922222222					
23:45:00	7	922222222					
23:59:00	8	922222222					
